Epoch: 851/1001, Batch: 14/35, Loss: 10.324966, img_l1_loss: 0.983918, img_pt_c_loss: 0.323193, svg_total_loss: 4.507041, svg_cmd_loss: 0.758547, svg_args_loss: 3.231198, svg_smooth_loss: 0.008535, svg_aux_loss: 0.508759, lr: 0.000199, Step: 29800
Epoch: 852/1001, Batch: 29/35, Loss: 9.634173, img_l1_loss: 0.895146, img_pt_c_loss: 0.319605, svg_total_loss: 4.052967, svg_cmd_loss: 0.474940, svg_args_loss: 3.236403, svg_smooth_loss: 0.013276, svg_aux_loss: 0.328347, lr: 0.000199, Step: 29850
Epoch: 854/1001, Batch: 9/35, Loss: 8.896583, img_l1_loss: 0.861125, img_pt_c_loss: 0.315451, svg_total_loss: 3.621845, svg_cmd_loss: 0.288480, svg_args_loss: 3.034922, svg_smooth_loss: 0.022955, svg_aux_loss: 0.275487, lr: 0.000198, Step: 29900
Epoch: 855/1001, Batch: 24/35, Loss: 8.206573, img_l1_loss: 0.834902, img_pt_c_loss: 0.309262, svg_total_loss: 3.256422, svg_cmd_loss: 0.283668, svg_args_loss: 2.750144, svg_smooth_loss: 0.033745, svg_aux_loss: 0.188865, lr: 0.000197, Step: 29950
Epoch: 857/1001, Batch: 4/35, Loss: 7.796406, img_l1_loss: 1.007180, img_pt_c_loss: 0.309309, svg_total_loss: 2.952417, svg_cmd_loss: 0.124324, svg_args_loss: 2.656960, svg_smooth_loss: 0.047084, svg_aux_loss: 0.124049, lr: 0.000196, Step: 30000
Epoch: 858/1001, Batch: 19/35, Loss: 6.582602, img_l1_loss: 0.692643, img_pt_c_loss: 0.243227, svg_total_loss: 2.607546, svg_cmd_loss: 0.199448, svg_args_loss: 2.268247, svg_smooth_loss: 0.058672, svg_aux_loss: 0.081179, lr: 0.000195, Step: 30050
Epoch: 859/1001, Batch: 34/35, Loss: 6.271456, img_l1_loss: 0.906919, img_pt_c_loss: 0.269063, svg_total_loss: 2.368636, svg_cmd_loss: 0.108267, svg_args_loss: 2.140759, svg_smooth_loss: 0.079046, svg_aux_loss: 0.040566, lr: 0.000195, Step: 30100
Epoch: 861/1001, Batch: 14/35, Loss: 5.747139, img_l1_loss: 0.797672, img_pt_c_loss: 0.231935, svg_total_loss: 2.174117, svg_cmd_loss: 0.157186, svg_args_loss: 1.906105, svg_smooth_loss: 0.087152, svg_aux_loss: 0.023674, lr: 0.000193, Step: 30150
Epoch: 862/1001, Batch: 29/35, Loss: 5.397677, img_l1_loss: 0.875062, img_pt_c_loss: 0.248367, svg_total_loss: 1.988294, svg_cmd_loss: 0.091150, svg_args_loss: 1.764236, svg_smooth_loss: 0.103094, svg_aux_loss: 0.029814, lr: 0.000193, Step: 30200
Epoch: 864/1001, Batch: 9/35, Loss: 4.658701, img_l1_loss: 0.823898, img_pt_c_loss: 0.238322, svg_total_loss: 1.686083, svg_cmd_loss: 0.056472, svg_args_loss: 1.522227, svg_smooth_loss: 0.096600, svg_aux_loss: 0.010785, lr: 0.000192, Step: 30250
Epoch: 865/1001, Batch: 24/35, Loss: 4.481211, img_l1_loss: 0.809785, img_pt_c_loss: 0.234115, svg_total_loss: 1.620275, svg_cmd_loss: 0.074726, svg_args_loss: 1.431042, svg_smooth_loss: 0.102841, svg_aux_loss: 0.011666, lr: 0.000191, Step: 30300
Epoch: 867/1001, Batch: 4/35, Loss: 4.018601, img_l1_loss: 0.752800, img_pt_c_loss: 0.219415, svg_total_loss: 1.441260, svg_cmd_loss: 0.077681, svg_args_loss: 1.247364, svg_smooth_loss: 0.098801, svg_aux_loss: 0.017415, lr: 0.000190, Step: 30350
Epoch: 868/1001, Batch: 19/35, Loss: 3.878120, img_l1_loss: 0.710200, img_pt_c_loss: 0.213986, svg_total_loss: 1.398547, svg_cmd_loss: 0.047918, svg_args_loss: 1.234940, svg_smooth_loss: 0.107656, svg_aux_loss: 0.008033, lr: 0.000189, Step: 30400
Epoch: 869/1001, Batch: 34/35, Loss: 4.159428, img_l1_loss: 0.784179, img_pt_c_loss: 0.208422, svg_total_loss: 1.517531, svg_cmd_loss: 0.085074, svg_args_loss: 1.309833, svg_smooth_loss: 0.111757, svg_aux_loss: 0.010867, lr: 0.000189, Step: 30450
Epoch: 871/1001, Batch: 14/35, Loss: 3.788198, img_l1_loss: 0.785459, img_pt_c_loss: 0.201885, svg_total_loss: 1.349381, svg_cmd_loss: 0.071949, svg_args_loss: 1.161303, svg_smooth_loss: 0.112850, svg_aux_loss: 0.003279, lr: 0.000188, Step: 30500
Epoch: 872/1001, Batch: 29/35, Loss: 3.950505, img_l1_loss: 0.786832, img_pt_c_loss: 0.211011, svg_total_loss: 1.418075, svg_cmd_loss: 0.072288, svg_args_loss: 1.215634, svg_smooth_loss: 0.122192, svg_aux_loss: 0.007961, lr: 0.000187, Step: 30550
Epoch: 874/1001, Batch: 9/35, Loss: 3.498099, img_l1_loss: 0.636591, img_pt_c_loss: 0.182208, svg_total_loss: 1.310441, svg_cmd_loss: 0.076815, svg_args_loss: 1.110389, svg_smooth_loss: 0.115811, svg_aux_loss: 0.007426, lr: 0.000186, Step: 30600
Epoch: 875/1001, Batch: 24/35, Loss: 3.096398, img_l1_loss: 0.486062, img_pt_c_loss: 0.181374, svg_total_loss: 1.180046, svg_cmd_loss: 0.066701, svg_args_loss: 0.990163, svg_smooth_loss: 0.112421, svg_aux_loss: 0.010761, lr: 0.000186, Step: 30650
Epoch: 877/1001, Batch: 4/35, Loss: 3.156617, img_l1_loss: 0.449446, img_pt_c_loss: 0.159462, svg_total_loss: 1.226231, svg_cmd_loss: 0.056455, svg_args_loss: 1.042473, svg_smooth_loss: 0.122815, svg_aux_loss: 0.004488, lr: 0.000184, Step: 30700
Epoch: 878/1001, Batch: 19/35, Loss: 3.120877, img_l1_loss: 0.467253, img_pt_c_loss: 0.195697, svg_total_loss: 1.201049, svg_cmd_loss: 0.099932, svg_args_loss: 0.971827, svg_smooth_loss: 0.114361, svg_aux_loss: 0.014930, lr: 0.000184, Step: 30750
Epoch: 879/1001, Batch: 34/35, Loss: 2.862855, img_l1_loss: 0.326429, img_pt_c_loss: 0.160107, svg_total_loss: 1.174227, svg_cmd_loss: 0.062229, svg_args_loss: 0.976945, svg_smooth_loss: 0.128815, svg_aux_loss: 0.006237, lr: 0.000183, Step: 30800
Epoch: 881/1001, Batch: 14/35, Loss: 2.830532, img_l1_loss: 0.304403, img_pt_c_loss: 0.146250, svg_total_loss: 1.164315, svg_cmd_loss: 0.068136, svg_args_loss: 0.981981, svg_smooth_loss: 0.101740, svg_aux_loss: 0.012459, lr: 0.000182, Step: 30850
Epoch: 882/1001, Batch: 29/35, Loss: 2.691951, img_l1_loss: 0.287813, img_pt_c_loss: 0.115280, svg_total_loss: 1.130860, svg_cmd_loss: 0.062146, svg_args_loss: 0.930912, svg_smooth_loss: 0.130522, svg_aux_loss: 0.007280, lr: 0.000182, Step: 30900
Epoch: 884/1001, Batch: 9/35, Loss: 2.633561, img_l1_loss: 0.239524, img_pt_c_loss: 0.101989, svg_total_loss: 1.127628, svg_cmd_loss: 0.060663, svg_args_loss: 0.946380, svg_smooth_loss: 0.113367, svg_aux_loss: 0.007217, lr: 0.000181, Step: 30950
Epoch: 885/1001, Batch: 24/35, Loss: 2.591304, img_l1_loss: 0.217599, img_pt_c_loss: 0.090973, svg_total_loss: 1.125165, svg_cmd_loss: 0.069990, svg_args_loss: 0.936176, svg_smooth_loss: 0.113214, svg_aux_loss: 0.005786, lr: 0.000180, Step: 31000
Epoch: 887/1001, Batch: 4/35, Loss: 2.507146, img_l1_loss: 0.227301, img_pt_c_loss: 0.088146, svg_total_loss: 1.081642, svg_cmd_loss: 0.046997, svg_args_loss: 0.899028, svg_smooth_loss: 0.128206, svg_aux_loss: 0.007411, lr: 0.000179, Step: 31050
Epoch: 888/1001, Batch: 19/35, Loss: 2.197959, img_l1_loss: 0.191209, img_pt_c_loss: 0.083163, svg_total_loss: 0.972981, svg_cmd_loss: 0.034718, svg_args_loss: 0.809753, svg_smooth_loss: 0.118200, svg_aux_loss: 0.010310, lr: 0.000178, Step: 31100
Epoch: 889/1001, Batch: 34/35, Loss: 2.064238, img_l1_loss: 0.155748, img_pt_c_loss: 0.069844, svg_total_loss: 0.923005, svg_cmd_loss: 0.057547, svg_args_loss: 0.760305, svg_smooth_loss: 0.102780, svg_aux_loss: 0.002373, lr: 0.000178, Step: 31150
Epoch: 891/1001, Batch: 14/35, Loss: 2.320227, img_l1_loss: 0.188682, img_pt_c_loss: 0.079739, svg_total_loss: 1.016771, svg_cmd_loss: 0.056356, svg_args_loss: 0.844499, svg_smooth_loss: 0.114251, svg_aux_loss: 0.001665, lr: 0.000177, Step: 31200
Epoch: 892/1001, Batch: 29/35, Loss: 2.321992, img_l1_loss: 0.189546, img_pt_c_loss: 0.081297, svg_total_loss: 1.013437, svg_cmd_loss: 0.073055, svg_args_loss: 0.798773, svg_smooth_loss: 0.130622, svg_aux_loss: 0.010987, lr: 0.000176, Step: 31250
Epoch: 894/1001, Batch: 9/35, Loss: 2.348647, img_l1_loss: 0.203840, img_pt_c_loss: 0.076082, svg_total_loss: 1.026030, svg_cmd_loss: 0.047873, svg_args_loss: 0.861877, svg_smooth_loss: 0.113843, svg_aux_loss: 0.002437, lr: 0.000175, Step: 31300
Epoch: 895/1001, Batch: 24/35, Loss: 1.935092, img_l1_loss: 0.160450, img_pt_c_loss: 0.063490, svg_total_loss: 0.851026, svg_cmd_loss: 0.037180, svg_args_loss: 0.705357, svg_smooth_loss: 0.103258, svg_aux_loss: 0.005232, lr: 0.000175, Step: 31350
Epoch: 897/1001, Batch: 4/35, Loss: 2.091344, img_l1_loss: 0.171265, img_pt_c_loss: 0.067787, svg_total_loss: 0.924951, svg_cmd_loss: 0.043961, svg_args_loss: 0.781569, svg_smooth_loss: 0.096038, svg_aux_loss: 0.003384, lr: 0.000174, Step: 31400
Epoch: 898/1001, Batch: 19/35, Loss: 2.173010, img_l1_loss: 0.163923, img_pt_c_loss: 0.067056, svg_total_loss: 0.975019, svg_cmd_loss: 0.068680, svg_args_loss: 0.787291, svg_smooth_loss: 0.116531, svg_aux_loss: 0.002516, lr: 0.000173, Step: 31450
