Epoch: 551/610, Batch: 14/35, Loss: 10.308626, img_l1_loss: 0.987829, img_pt_c_loss: 0.327696, svg_total_loss: 4.496058, svg_cmd_loss: 0.757425, svg_args_loss: 3.229598, svg_smooth_loss: 0.006963, svg_aux_loss: 0.502072, lr: 0.000199, Step: 19300
Epoch: 552/610, Batch: 29/35, Loss: 9.671597, img_l1_loss: 0.893006, img_pt_c_loss: 0.328504, svg_total_loss: 4.103430, svg_cmd_loss: 0.511611, svg_args_loss: 3.228195, svg_smooth_loss: 0.015301, svg_aux_loss: 0.348324, lr: 0.000199, Step: 19350
Epoch: 554/610, Batch: 9/35, Loss: 8.942815, img_l1_loss: 0.858179, img_pt_c_loss: 0.331759, svg_total_loss: 3.619484, svg_cmd_loss: 0.291948, svg_args_loss: 3.036017, svg_smooth_loss: 0.021934, svg_aux_loss: 0.269585, lr: 0.000198, Step: 19400
Epoch: 555/610, Batch: 24/35, Loss: 8.213532, img_l1_loss: 0.830441, img_pt_c_loss: 0.328928, svg_total_loss: 3.237294, svg_cmd_loss: 0.260399, svg_args_loss: 2.752082, svg_smooth_loss: 0.033928, svg_aux_loss: 0.190885, lr: 0.000197, Step: 19450
Epoch: 557/610, Batch: 4/35, Loss: 7.842063, img_l1_loss: 1.000672, img_pt_c_loss: 0.365428, svg_total_loss: 2.968523, svg_cmd_loss: 0.136866, svg_args_loss: 2.658242, svg_smooth_loss: 0.044412, svg_aux_loss: 0.129004, lr: 0.000196, Step: 19500
Epoch: 558/610, Batch: 19/35, Loss: 6.659024, img_l1_loss: 0.684137, img_pt_c_loss: 0.299785, svg_total_loss: 2.621111, svg_cmd_loss: 0.203155, svg_args_loss: 2.272639, svg_smooth_loss: 0.061160, svg_aux_loss: 0.084157, lr: 0.000195, Step: 19550
Epoch: 559/610, Batch: 34/35, Loss: 6.349617, img_l1_loss: 0.897645, img_pt_c_loss: 0.347675, svg_total_loss: 2.365312, svg_cmd_loss: 0.116708, svg_args_loss: 2.129875, svg_smooth_loss: 0.078668, svg_aux_loss: 0.040061, lr: 0.000195, Step: 19600
Epoch: 561/610, Batch: 14/35, Loss: 5.755099, img_l1_loss: 0.793863, img_pt_c_loss: 0.314384, svg_total_loss: 2.154010, svg_cmd_loss: 0.150136, svg_args_loss: 1.899844, svg_smooth_loss: 0.081902, svg_aux_loss: 0.022128, lr: 0.000193, Step: 19650
Epoch: 562/610, Batch: 29/35, Loss: 5.447666, img_l1_loss: 0.868700, img_pt_c_loss: 0.340888, svg_total_loss: 1.967082, svg_cmd_loss: 0.098253, svg_args_loss: 1.744688, svg_smooth_loss: 0.100422, svg_aux_loss: 0.023719, lr: 0.000193, Step: 19700
Epoch: 564/610, Batch: 9/35, Loss: 4.689865, img_l1_loss: 0.817694, img_pt_c_loss: 0.322072, svg_total_loss: 1.672822, svg_cmd_loss: 0.059288, svg_args_loss: 1.505770, svg_smooth_loss: 0.099505, svg_aux_loss: 0.008258, lr: 0.000192, Step: 19750
Epoch: 565/610, Batch: 24/35, Loss: 4.554228, img_l1_loss: 0.816635, img_pt_c_loss: 0.326368, svg_total_loss: 1.616136, svg_cmd_loss: 0.070078, svg_args_loss: 1.426584, svg_smooth_loss: 0.108406, svg_aux_loss: 0.011067, lr: 0.000191, Step: 19800
